Date,Open,High,Low,Close,Volume,Market Cap,Cryptocurrency
"Dec 31, 2024",$704.15,$713.60,$698.03,$700.99,"$2,372,886,701","$100,947,038,849",BNB
"Dec 30, 2024",$693.75,$711.04,$686.91,$704.15,"$1,790,325,219","$101,402,063,809",BNB
"Dec 29, 2024",$720.96,$722.77,$689.48,$693.75,"$1,647,228,348","$99,905,586,210",BNB
"Dec 28, 2024",$690.43,$729.32,$690.43,$720.96,"$1,890,880,986","$103,823,312,056",BNB
"Dec 27, 2024",$688.35,$709.65,$685.20,$690.43,"$1,884,726,979","$99,426,856,442",BNB
"Dec 26, 2024",$702.33,$718.16,$683.26,$688.36,"$1,253,518,341","$99,127,593,628",BNB
"Dec 25, 2024",$696.74,$711.99,$695.96,$702.33,"$893,387,310","$101,140,298,680",BNB
"Dec 24, 2024",$693.00,$698.44,$682.00,$696.74,"$1,145,844,254","$100,335,949,687",BNB
"Dec 23, 2024",$648.70,$697.40,$637.97,$693.00,"$1,738,271,695","$99,797,354,941",BNB
"Dec 22, 2024",$663.27,$668.83,$639.61,$648.70,"$1,091,595,586","$93,418,436,603",BNB
"Dec 21, 2024",$678.09,$692.64,$652.61,$663.28,"$2,185,739,949","$95,515,424,207",BNB
"Dec 20, 2024",$666.57,$679.44,$619.50,$678.09,"$3,064,285,256","$97,649,751,581",BNB
"Dec 19, 2024",$687.62,$704.49,$651.04,$666.57,"$2,806,454,484","$95,991,251,010",BNB
"Dec 18, 2024",$716.72,$721.76,$686.66,$687.62,"$2,702,479,586","$99,023,410,734",BNB
"Dec 17, 2024",$720.33,$735.76,$713.73,$716.68,"$2,363,860,623","$103,214,196,824",BNB
"Dec 16, 2024",$719.13,$730.00,$704.34,$720.33,"$2,276,490,785","$103,732,897,242",BNB
"Dec 15, 2024",$715.70,$723.07,$703.18,$719.13,"$1,831,103,596","$103,561,302,239",BNB
"Dec 14, 2024",$726.25,$731.66,$705.54,$715.70,"$1,957,844,883","$103,066,164,736",BNB
"Dec 13, 2024",$705.94,$729.63,$698.50,$726.25,"$2,449,855,057","$104,586,826,608",BNB
"Dec 12, 2024",$711.81,$725.22,$700.11,$705.94,"$2,393,129,125","$101,662,023,789",BNB
"Dec 11, 2024",$676.98,$712.88,$660.15,$711.81,"$2,276,828,057","$102,507,008,151",BNB
"Dec 10, 2024",$689.92,$704.56,$650.60,$676.98,"$3,102,408,468","$97,491,464,412",BNB
"Dec 09, 2024",$743.30,$743.30,$662.24,$689.92,"$3,267,965,774","$99,355,226,774",BNB
"Dec 08, 2024",$751.73,$757.59,$729.05,$743.30,"$2,035,017,685","$107,041,245,540",BNB
"Dec 07, 2024",$732.01,$761.09,$730.87,$750.27,"$2,326,982,728","$108,046,041,409",BNB
"Dec 06, 2024",$717.96,$746.13,$708.44,$732.01,"$2,870,854,029","$105,415,583,618",BNB
"Dec 05, 2024",$739.25,$739.95,$695.94,$714.32,"$3,771,629,643","$102,866,947,973",BNB
"Dec 04, 2024",$737.70,$793.35,$723.54,$739.25,"$5,614,818,578","$106,459,418,136",BNB
"Dec 03, 2024",$647.70,$744.78,$625.97,$737.70,"$4,177,512,806","$106,235,297,803",BNB
