Date,Open,High,Low,Close,Volume,Market Cap,Cryptocurrency
"Dec 31, 2024","$92,643.25","$96,090.60","$91,914.03","$93,429.20","$43,625,106,843","$1,850,183,342,119",BTC
"Dec 30, 2024","$93,527.20","$94,903.32","$91,317.14","$92,643.21","$56,188,003,691","$1,834,643,033,989",BTC
"Dec 29, 2024","$95,174.06","$95,174.88","$92,881.79","$93,530.23","$29,635,885,267","$1,852,119,372,624",BTC
"Dec 28, 2024","$94,160.19","$95,525.90","$94,014.29","$95,163.93","$24,107,436,185","$1,884,684,226,460",BTC
"Dec 27, 2024","$95,704.97","$97,294.85","$93,310.74","$94,164.86","$52,419,934,565","$1,864,541,907,464",BTC
"Dec 26, 2024","$99,297.70","$99,884.57","$95,137.89","$95,795.52","$47,054,980,873","$1,896,937,576,269",BTC
"Dec 25, 2024","$98,675.91","$99,478.75","$97,593.47","$99,299.19","$33,700,394,629","$1,966,210,082,591",BTC
"Dec 24, 2024","$94,684.35","$99,404.06","$93,448.01","$98,676.10","$47,114,953,674","$1,953,851,713,517",BTC
"Dec 23, 2024","$95,099.39","$96,416.21","$92,403.13","$94,686.24","$65,239,002,919","$1,875,314,065,985",BTC
"Dec 22, 2024","$97,218.32","$97,360.26","$94,202.19","$95,104.93","$43,147,981,314","$1,882,953,315,399",BTC
"Dec 21, 2024","$97,756.19","$99,507.10","$96,426.52","$97,224.73","$51,765,334,294","$1,924,861,940,276",BTC
"Dec 20, 2024","$97,484.70","$98,098.91","$92,175.18","$97,755.93","$105,634,083,408","$1,935,459,460,469",BTC
"Dec 19, 2024","$100,070.69","$102,748.15","$95,587.68","$97,490.95","$97,221,662,392","$1,930,044,053,238",BTC
"Dec 18, 2024","$106,147.30","$106,470.61","$100,041.54","$100,041.54","$93,865,656,139","$1,982,994,456,166",BTC
"Dec 17, 2024","$106,030.69","$108,268.45","$105,291.74","$106,140.60","$68,589,364,868","$2,101,344,621,530",BTC
"Dec 16, 2024","$104,293.58","$107,780.58","$103,322.98","$106,029.72","$91,020,417,816","$2,099,101,774,990",BTC
"Dec 15, 2024","$101,373.53","$105,047.54","$101,227.03","$104,298.70","$51,145,914,137","$2,065,144,333,081",BTC
"Dec 14, 2024","$101,451.44","$102,618.88","$100,634.06","$101,372.97","$40,422,968,793","$2,006,808,502,978",BTC
"Dec 13, 2024","$100,046.65","$101,888.81","$99,233.28","$101,459.25","$56,894,751,583","$2,008,423,637,064",BTC
"Dec 12, 2024","$101,167.81","$102,524.91","$99,339.95","$100,043.00","$72,073,983,533","$1,980,440,555,379",BTC
"Dec 11, 2024","$96,656.06","$101,913.36","$95,747.23","$101,173.03","$85,391,409,936","$2,002,682,634,623",BTC
"Dec 10, 2024","$97,441.23","$98,270.15","$94,321.26","$96,675.43","$104,823,780,634","$1,913,235,117,589",BTC
"Dec 09, 2024","$101,237.06","$101,272.50","$94,355.91","$97,432.72","$110,676,473,908","$1,928,513,648,652",BTC
"Dec 08, 2024","$99,921.92","$101,399.99","$98,771.51","$101,236.01","$44,125,751,925","$2,003,538,950,158",BTC
"Dec 07, 2024","$99,916.71","$100,563.38","$99,030.89","$99,923.34","$44,177,510,897","$1,977,521,445,640",BTC
"Dec 06, 2024","$97,074.22","$102,039.88","$96,514.88","$99,920.71","$94,534,772,658","$1,977,630,964,721",BTC
"Dec 05, 2024","$98,741.54","$103,900.47","$91,998.78","$96,593.57","$149,218,945,580","$1,911,777,565,577",BTC
"Dec 04, 2024","$95,988.53","$99,207.33","$94,660.52","$98,768.53","$77,199,817,112","$1,954,156,097,012",BTC
"Dec 03, 2024","$95,854.60","$96,297.20","$93,629.56","$96,002.16","$67,067,810,961","$1,899,532,461,067",BTC
"Dec 02, 2024","$97,276.01","$98,152.60","$94,482.86","$95,865.30","$72,680,784,305","$1,896,994,040,043",BTC
"Dec 01, 2024","$96,461.34","$97,888.13","$95,770.18","$97,279.79","$36,590,695,296","$1,924,784,957,144",BTC
"Nov 30, 2024","$97,468.81","$97,499.34","$96,144.22","$96,449.06","$31,634,227,866","$1,908,652,965,665",BTC
"Nov 29, 2024","$95,653.95","$98,693.17","$95,407.89","$97,461.52","$54,968,682,476","$1,928,820,661,174",BTC
"Nov 28, 2024","$95,954.94","$96,650.20","$94,677.35","$95,652.47","$52,260,008,261","$1,892,868,519,536",BTC
"Nov 27, 2024","$91,978.14","$97,361.18","$91,778.66","$95,962.53","$71,133,452,438","$1,898,774,680,758",BTC
"Nov 26, 2024","$93,087.28","$94,991.75","$90,770.82","$91,985.32","$91,656,519,855","$1,820,053,564,596",BTC
"Nov 25, 2024","$98,033.44","$98,935.03","$92,642.91","$93,102.30","$80,909,462,490","$1,842,257,290,731",BTC
"Nov 24, 2024","$97,778.10","$98,647.18","$95,788.08","$98,013.82","$51,712,020,623","$1,937,919,789,263",BTC
"Nov 23, 2024","$99,006.74","$99,014.68","$97,232.89","$97,777.28","$44,414,644,677","$1,934,627,418,210",BTC
"Nov 22, 2024","$98,496.43","$99,655.50","$97,222.67","$98,997.66","$78,473,580,551","$1,958,954,432,127",BTC
"Nov 21, 2024","$94,334.64","$99,014.21","$94,132.60","$98,504.73","$106,024,505,582","$1,948,797,365,353",BTC
"Nov 20, 2024","$92,341.89","$94,902.02","$91,619.50","$94,339.50","$71,730,956,426","$1,866,427,425,876",BTC
"Nov 19, 2024","$90,536.81","$94,002.87","$90,426.99","$92,343.79","$74,521,048,295","$1,826,956,673,335",BTC
"Nov 18, 2024","$89,843.72","$92,596.79","$89,393.59","$90,542.64","$75,535,775,084","$1,791,255,587,562",BTC
"Nov 17, 2024","$90,558.46","$91,433.04","$88,741.67","$89,845.85","$46,350,159,305","$1,777,526,304,284",BTC
"Nov 16, 2024","$91,064.37","$91,763.95","$90,094.23","$90,558.48","$44,333,192,814","$1,791,535,825,198",BTC
"Nov 15, 2024","$87,284.18","$91,868.74","$87,124.90","$91,066.01","$78,243,109,518","$1,801,436,194,835",BTC
"Nov 14, 2024","$90,574.88","$91,765.22","$86,682.82","$87,250.43","$87,616,705,248","$1,727,562,262,252",BTC
"Nov 13, 2024","$87,929.97","$93,434.36","$86,256.93","$90,584.17","$123,559,027,869","$1,791,737,553,114",BTC
"Nov 12, 2024","$88,705.56","$89,956.88","$85,155.11","$87,955.81","$133,673,285,375","$1,739,381,625,717",BTC
"Nov 11, 2024","$80,471.41","$89,604.50","$80,283.25","$88,701.49","$117,966,845,037","$1,754,682,553,470",BTC
"Nov 10, 2024","$76,775.54","$81,474.42","$76,565.43","$80,474.19","$82,570,594,495","$1,591,750,610,706",BTC
"Nov 09, 2024","$76,556.19","$76,932.76","$75,773.79","$76,778.87","$29,009,480,361","$1,518,690,764,417",BTC
"Nov 08, 2024","$75,902.83","$77,252.75","$75,648.74","$76,545.48","$55,176,858,003","$1,514,255,354,916",BTC
"Nov 07, 2024","$75,637.08","$76,943.12","$74,480.42","$75,904.86","$63,467,654,989","$1,501,297,989,025",BTC
"Nov 06, 2024","$69,358.50","$76,460.15","$69,322.03","$75,639.08","$118,592,653,963","$1,496,003,893,299",BTC
"Nov 05, 2024","$67,811.17","$70,522.79","$67,458.87","$69,359.57","$46,046,889,204","$1,371,788,058,011",BTC
"Nov 04, 2024","$68,742.13","$69,433.18","$66,803.65","$67,811.51","$41,184,819,348","$1,341,156,657,449",BTC
"Nov 03, 2024","$69,296.38","$69,361.66","$67,482.53","$68,741.12","$34,868,307,655","$1,359,535,744,745",BTC
"Nov 02, 2024","$69,486.02","$69,867.35","$69,033.72","$69,289.28","$18,184,612,091","$1,370,468,034,066",BTC
"Nov 01, 2024","$70,216.90","$71,559.02","$68,779.70","$69,482.47","$49,989,795,365","$1,374,187,711,281",BTC
"Oct 31, 2024","$72,335.04","$72,662.31","$69,590.50","$70,215.19","$40,627,912,076","$1,388,607,599,014",BTC
"Oct 30, 2024","$72,715.37","$72,905.30","$71,411.74","$72,339.54","$40,646,637,831","$1,430,461,157,911",BTC
"Oct 29, 2024","$69,910.05","$73,577.21","$69,729.92","$72,720.49","$58,541,874,402","$1,437,942,445,620",BTC
"Oct 28, 2024","$67,922.67","$70,212.27","$67,535.13","$69,907.75","$38,799,856,657","$1,382,358,128,595",BTC
"Oct 27, 2024","$67,023.48","$68,221.31","$66,847.22","$67,929.30","$16,721,307,878","$1,343,230,761,708",BTC
"Oct 26, 2024","$66,628.74","$67,317.92","$66,360.60","$67,014.70","$19,588,098,156","$1,325,286,022,321",BTC
"Oct 25, 2024","$68,165.30","$68,722.16","$65,521.79","$66,642.41","$41,469,984,306","$1,317,385,748,797",BTC
"Oct 24, 2024","$66,653.70","$68,798.96","$66,454.10","$68,161.05","$31,414,428,647","$1,347,797,865,139",BTC
"Oct 23, 2024","$67,362.37","$67,402.74","$65,188.04","$66,432.20","$32,263,980,353","$1,313,495,275,869",BTC
"Oct 22, 2024","$67,360.70","$67,801.58","$66,581.37","$67,361.40","$31,808,472,566","$1,331,842,439,476",BTC
"Oct 21, 2024","$69,002.00","$69,462.74","$66,829.85","$67,367.85","$37,498,611,780","$1,331,798,086,167",BTC
"Oct 20, 2024","$68,364.18","$69,359.01","$68,105.72","$69,001.71","$18,975,847,518","$1,364,212,669,154",BTC
"Oct 19, 2024","$68,418.98","$68,668.01","$68,024.64","$68,362.73","$14,443,497,908","$1,351,535,266,983",BTC
"Oct 18, 2024","$67,419.11","$68,969.75","$67,177.82","$68,418.79","$36,857,165,014","$1,352,611,490,621",BTC
"Oct 17, 2024","$67,617.08","$67,912.21","$66,647.39","$67,399.83","$32,790,898,511","$1,332,816,990,035",BTC
"Oct 16, 2024","$67,042.46","$68,375.29","$66,758.73","$67,612.72","$38,195,189,534","$1,336,696,892,492",BTC
"Oct 15, 2024","$66,050.37","$67,881.68","$64,809.20","$67,041.11","$48,863,870,879","$1,325,307,318,852",BTC
"Oct 14, 2024","$62,848.40","$66,482.49","$62,442.15","$66,046.13","$43,706,958,056","$1,305,664,072,036",BTC
"Oct 13, 2024","$63,192.94","$63,272.65","$62,035.64","$62,851.37","$18,177,529,690","$1,242,341,595,991",BTC
"Oct 12, 2024","$62,444.62","$63,448.78","$62,443.27","$63,193.02","$16,744,110,886","$1,249,123,856,891",BTC
"Oct 11, 2024","$60,275.46","$63,400.87","$60,046.13","$62,445.09","$30,327,141,594","$1,234,303,474,603",BTC
"Oct 10, 2024","$60,581.93","$61,236.72","$58,895.21","$60,274.50","$30,452,813,570","$1,191,400,599,851",BTC
"Oct 09, 2024","$62,131.73","$62,508.84","$60,314.61","$60,582.10","$27,670,982,363","$1,197,429,647,367",BTC
"Oct 08, 2024","$62,221.65","$63,174.31","$61,843.56","$62,131.97","$28,134,475,157","$1,228,037,977,785",BTC
"Oct 07, 2024","$62,819.11","$64,443.71","$62,152.55","$62,236.66","$34,253,562,610","$1,229,782,194,408",BTC
"Oct 06, 2024","$62,084.99","$62,959.57","$61,833.15","$62,818.95","$14,776,233,667","$1,241,559,389,622",BTC
"Oct 05, 2024","$62,067.61","$62,371.02","$61,689.58","$62,089.95","$13,305,410,749","$1,227,021,845,844",BTC
"Oct 04, 2024","$60,754.63","$62,465.99","$60,459.94","$62,067.48","$29,585,472,513","$1,226,647,958,541",BTC
"Oct 03, 2024","$60,632.49","$61,469.04","$59,878.80","$60,759.40","$36,106,447,279","$1,200,668,382,436",BTC
"Oct 02, 2024","$60,836.32","$62,357.69","$59,996.95","$60,632.79","$40,762,722,398","$1,198,224,649,901",BTC
"Oct 01, 2024","$63,335.60","$64,110.98","$60,189.28","$60,837.01","$50,220,923,500","$1,202,222,321,938",BTC
