Date,Open,High,Low,Close,Volume,Market Cap,Cryptocurrency
"Dec 31, 2024","$3,356.39","$3,444.40","$3,311.41","$3,332.53","$20,845,452,085","$401,463,938,534",ETH
"Dec 30, 2024","$3,349.59","$3,428.53","$3,298.80","$3,356.39","$26,981,583,962","$404,347,423,139",ETH
"Dec 29, 2024","$3,397.86","$3,406.65","$3,321.66","$3,349.51","$13,440,907,792","$403,520,330,664",ETH
"Dec 28, 2024","$3,328.77","$3,419.92","$3,318.03","$3,397.90","$14,305,648,523","$409,328,700,067",ETH
"Dec 27, 2024","$3,331.05","$3,436.71","$3,302.58","$3,328.92","$24,091,627,403","$400,999,129,472",ETH
"Dec 26, 2024","$3,493.30","$3,512.60","$3,302.31","$3,331.23","$22,247,726,776","$401,267,700,708",ETH
"Dec 25, 2024","$3,491.96","$3,542.83","$3,440.10","$3,493.24","$17,651,873,225","$420,805,325,622",ETH
"Dec 24, 2024","$3,415.74","$3,535.86","$3,355.61","$3,492.05","$23,083,678,195","$420,636,637,648",ETH
"Dec 23, 2024","$3,277.51","$3,461.53","$3,217.37","$3,415.79","$34,496,081,389","$411,529,471,311",ETH
"Dec 22, 2024","$3,337.00","$3,398.66","$3,219.29","$3,277.54","$24,780,768,375","$394,793,968,020",ETH
"Dec 21, 2024","$3,472.59","$3,552.92","$3,293.51","$3,337.22","$31,579,389,836","$401,953,429,395",ETH
"Dec 20, 2024","$3,417.93","$3,496.33","$3,098.20","$3,472.55","$66,383,827,229","$418,284,340,600",ETH
"Dec 19, 2024","$3,619.58","$3,717.66","$3,330.87","$3,417.93","$58,879,190,250","$411,699,176,708",ETH
"Dec 18, 2024","$3,886.89","$3,902.72","$3,617.84","$3,618.79","$48,946,681,636","$435,986,145,065",ETH
"Dec 17, 2024","$3,987.33","$4,040.34","$3,849.29","$3,886.77","$35,418,700,472","$468,179,858,815",ETH
"Dec 16, 2024","$3,951.65","$4,106.96","$3,882.71","$3,987.48","$46,536,359,669","$480,275,264,779",ETH
"Dec 15, 2024","$3,868.44","$3,971.50","$3,832.10","$3,951.94","$25,069,616,984","$475,970,706,984",ETH
"Dec 14, 2024","$3,910.85","$3,943.28","$3,826.76","$3,868.41","$28,756,190,559","$465,941,733,951",ETH
"Dec 13, 2024","$3,883.03","$3,967.40","$3,855.02","$3,911.21","$34,895,127,659","$471,045,270,786",ETH
"Dec 12, 2024","$3,833.17","$3,987.01","$3,800.09","$3,883.10","$42,971,675,764","$467,692,843,996",ETH
"Dec 11, 2024","$3,631.28","$3,850.77","$3,567.57","$3,832.82","$35,968,053,196","$461,685,919,220",ETH
"Dec 10, 2024","$3,719.00","$3,780.75","$3,520.37","$3,631.83","$58,416,417,599","$437,368,903,367",ETH
"Dec 09, 2024","$4,006.10","$4,008.78","$3,525.23","$3,718.69","$57,029,832,059","$447,935,758,708",ETH
"Dec 08, 2024","$4,007.69","$4,018.00","$3,927.85","$4,005.70","$20,943,378,971","$482,509,552,465",ETH
"Dec 07, 2024","$4,006.03","$4,029.45","$3,974.18","$4,002.69","$22,574,636,761","$482,089,799,826",ETH
"Dec 06, 2024","$3,792.21","$4,093.17","$3,782.68","$4,005.81","$52,853,668,566","$482,494,371,898",ETH
"Dec 05, 2024","$3,840.84","$3,956.54","$3,683.42","$3,811.01","$60,568,296,606","$459,336,928,076",ETH
"Dec 04, 2024","$3,620.04","$3,895.17","$3,617.74","$3,841.33","$56,799,745,752","$462,598,955,635",ETH
"Dec 03, 2024","$3,643.74","$3,670.22","$3,504.23","$3,620.71","$36,839,829,742","$436,004,938,717",ETH
"Dec 02, 2024","$3,710.50","$3,761.34","$3,557.25","$3,644.20","$47,284,967,570","$438,860,633,632",ETH
"Dec 01, 2024","$3,706.62","$3,747.46","$3,663.23","$3,711.17","$28,018,113,530","$446,895,881,159",ETH
"Nov 30, 2024","$3,593.60","$3,739.93","$3,572.25","$3,705.71","$30,670,867,436","$446,423,440,648",ETH
"Nov 29, 2024","$3,579.91","$3,647.26","$3,538.45","$3,593.49","$27,622,629,486","$432,805,738,725",ETH
"Nov 28, 2024","$3,656.61","$3,664.88","$3,531.87","$3,579.81","$32,362,724,276","$431,151,815,287",ETH
"Nov 27, 2024","$3,326.03","$3,687.01","$3,303.57","$3,657.25","$43,383,987,191","$440,385,217,849",ETH
"Nov 26, 2024","$3,412.95","$3,461.29","$3,255.54","$3,326.52","$39,902,959,158","$400,566,430,408",ETH
"Nov 25, 2024","$3,364.60","$3,545.28","$3,304.09","$3,413.54","$51,544,793,988","$411,101,919,291",ETH
"Nov 24, 2024","$3,397.00","$3,451.80","$3,288.43","$3,363.66","$27,901,454,185","$405,047,057,926",ETH
"Nov 23, 2024","$3,331.65","$3,499.37","$3,317.65","$3,396.22","$38,835,184,688","$409,133,045,671",ETH
"Nov 22, 2024","$3,360.65","$3,428.46","$3,262.81","$3,331.60","$36,775,716,442","$401,224,717,876",ETH
"Nov 21, 2024","$3,072.06","$3,388.54","$3,035.85","$3,361.05","$51,619,069,348","$404,653,397,390",ETH
"Nov 20, 2024","$3,111.12","$3,159.95","$3,032.60","$3,072.19","$29,785,491,216","$369,956,294,189",ETH
"Nov 19, 2024","$3,208.25","$3,222.00","$3,070.36","$3,111.38","$29,823,634,432","$374,657,156,406",ETH
"Nov 18, 2024","$3,075.72","$3,225.13","$3,052.49","$3,207.86","$35,445,557,613","$386,267,533,049",ETH
"Nov 17, 2024","$3,133.31","$3,160.15","$3,039.25","$3,075.66","$28,348,163,224","$370,386,258,449",ETH
"Nov 16, 2024","$3,089.74","$3,218.09","$3,073.29","$3,133.27","$26,650,658,846","$377,316,858,272",ETH
"Nov 15, 2024","$3,059.53","$3,130.70","$3,016.14","$3,103.04","$32,701,369,872","$373,674,738,954",ETH
"Nov 14, 2024","$3,192.52","$3,240.27","$3,032.97","$3,058.95","$35,743,352,141","$368,632,337,377",ETH
"Nov 13, 2024","$3,244.54","$3,337.88","$3,121.67","$3,192.60","$52,010,205,682","$384,453,907,191",ETH
"Nov 12, 2024","$3,375.15","$3,444.15","$3,211.20","$3,246.26","$56,686,078,066","$390,719,959,237",ETH
"Nov 11, 2024","$3,191.66","$3,389.53","$3,109.77","$3,374.81","$55,417,771,668","$406,448,988,244",ETH
"Nov 10, 2024","$3,130.73","$3,249.91","$3,073.25","$3,191.33","$47,418,730,187","$384,275,074,912",ETH
"Nov 09, 2024","$2,962.79","$3,156.37","$2,957.18","$3,131.14","$29,210,133,088","$377,056,622,940",ETH
"Nov 08, 2024","$2,895.60","$2,983.74","$2,889.48","$2,962.30","$32,303,261,101","$356,779,686,685",ETH
"Nov 07, 2024","$2,724.01","$2,918.74","$2,701.59","$2,895.59","$35,352,318,438","$348,685,832,425",ETH
"Nov 06, 2024","$2,422.54","$2,743.96","$2,421.81","$2,724.17","$41,887,574,364","$328,022,073,762",ETH
"Nov 05, 2024","$2,397.04","$2,478.62","$2,380.60","$2,422.65","$17,894,057,485","$291,714,903,910",ETH
"Nov 04, 2024","$2,456.10","$2,488.35","$2,359.58","$2,397.03","$17,110,200,696","$288,639,365,530",ETH
"Nov 03, 2024","$2,491.09","$2,495.44","$2,411.40","$2,456.43","$15,667,779,706","$295,745,463,223",ETH
"Nov 02, 2024","$2,512.21","$2,522.36","$2,471.96","$2,491.07","$9,639,457,439","$299,954,702,149",ETH
"Nov 01, 2024","$2,515.87","$2,583.78","$2,467.82","$2,511.89","$20,215,438,328","$302,492,946,793",ETH
