Date,Open,High,Low,Close,Volume,Market Cap,Cryptocurrency
"Dec 31, 2024",$191.05,$198.68,$187.98,$189.26,"$3,276,526,561","$91,366,551,209",SOL
"Dec 30, 2024",$189.74,$196.12,$185.94,$191.03,"$3,246,300,054","$91,650,550,325",SOL
"Dec 29, 2024",$195.02,$197.18,$188.34,$189.74,"$2,165,753,102","$91,028,686,554",SOL
"Dec 28, 2024",$183.83,$195.44,$183.83,$195.01,"$2,158,687,217","$93,539,624,675",SOL
"Dec 27, 2024",$188.22,$193.75,$182.95,$183.83,"$2,788,285,851","$88,175,075,789",SOL
"Dec 26, 2024",$197.48,$199.40,$186.86,$188.22,"$2,864,701,219","$90,257,160,443",SOL
"Dec 25, 2024",$196.99,$201.63,$195.35,$197.48,"$2,688,415,733","$94,699,534,476",SOL
"Dec 24, 2024",$189.75,$198.70,$186.12,$196.99,"$3,412,375,255","$94,445,852,512",SOL
"Dec 23, 2024",$180.17,$193.05,$176.72,$189.75,"$4,922,594,345","$90,977,800,921",SOL
"Dec 22, 2024",$181.29,$187.53,$177.13,$180.17,"$4,001,292,417","$86,365,287,666",SOL
"Dec 21, 2024",$194.21,$201.63,$178.74,$181.30,"$5,368,845,730","$86,901,429,750",SOL
"Dec 20, 2024",$194.28,$199.36,$175.91,$194.21,"$9,600,073,165","$93,074,154,726",SOL
"Dec 19, 2024",$206.38,$212.00,$188.03,$194.28,"$8,043,974,299","$93,112,809,377",SOL
"Dec 18, 2024",$222.82,$225.89,$205.00,$206.38,"$6,888,988,933","$98,890,061,657",SOL
"Dec 17, 2024",$216.33,$228.69,$211.91,$222.82,"$6,445,051,900","$106,773,065,864",SOL
"Dec 16, 2024",$223.66,$227.04,$213.48,$216.33,"$5,071,129,914","$103,653,394,019",SOL
"Dec 15, 2024",$219.84,$225.07,$215.91,$223.66,"$2,969,473,030","$107,163,749,523",SOL
"Dec 14, 2024",$224.84,$227.24,$215.34,$219.84,"$2,925,240,730","$105,308,598,558",SOL
"Dec 13, 2024",$227.03,$228.27,$220.82,$224.84,"$4,029,626,623","$107,701,042,250",SOL
"Dec 12, 2024",$227.45,$234.33,$225.95,$227.03,"$4,935,392,005","$108,715,974,054",SOL
"Dec 11, 2024",$213.84,$230.51,$211.99,$227.45,"$5,615,074,058","$108,918,817,569",SOL
"Dec 10, 2024",$217.33,$220.74,$203.72,$213.82,"$8,419,973,004","$101,806,840,802",SOL
"Dec 09, 2024",$237.46,$237.46,$209.71,$217.34,"$8,610,208,198","$103,472,461,861",SOL
"Dec 08, 2024",$239.49,$241.44,$233.71,$236.67,"$3,204,778,349","$112,662,507,564",SOL
"Dec 07, 2024",$237.05,$243.12,$234.66,$238.55,"$4,003,422,914","$113,550,426,609",SOL
"Dec 06, 2024",$236.54,$246.42,$231.43,$237.05,"$6,726,557,034","$112,705,632,125",SOL
"Dec 05, 2024",$229.12,$244.68,$223.46,$234.00,"$8,820,663,279","$111,247,373,459",SOL
"Dec 04, 2024",$234.20,$240.72,$225.25,$229.12,"$6,569,129,896","$108,913,388,189",SOL
"Dec 03, 2024",$225.77,$239.27,$216.47,$234.20,"$8,404,095,315","$111,302,903,161",SOL
"Dec 02, 2024",$237.07,$237.88,$220.55,$225.76,"$7,374,176,295","$107,299,929,556",SOL
"Dec 01, 2024",$237.74,$239.81,$234.53,$237.07,"$3,726,118,866","$112,643,053,873",SOL
"Nov 30, 2024",$243.55,$245.24,$237.72,$237.74,"$3,549,156,564","$112,945,731,749",SOL
"Nov 29, 2024",$237.76,$246.78,$236.82,$243.55,"$4,152,396,835","$115,656,693,235",SOL
"Nov 28, 2024",$242.30,$245.20,$233.20,$237.76,"$4,047,310,070","$112,914,824,464",SOL
"Nov 27, 2024",$230.97,$243.12,$228.13,$242.30,"$5,381,404,312","$115,044,588,555",SOL
"Nov 26, 2024",$234.45,$239.64,$222.96,$230.98,"$6,996,936,265","$109,670,601,209",SOL
"Nov 25, 2024",$252.92,$256.42,$231.55,$234.45,"$6,616,015,635","$111,295,197,218",SOL
"Nov 24, 2024",$255.18,$259.63,$243.12,$252.92,"$5,330,146,683","$120,055,808,397",SOL
"Nov 23, 2024",$256.52,$263.83,$253.19,$255.18,"$6,234,742,858","$121,118,167,397",SOL
"Nov 22, 2024",$257.08,$263.70,$252.14,$256.52,"$7,249,493,783","$121,762,443,513",SOL
